Forest Name,Forest State,Forest URL,Forest ID
Daniel Boone National Forest,Kentucky,https://www.fs.fed.us/sopa/forest-level.php?110802,110802
George Washington and Jefferson National Forest,Kentucky,https://www.fs.fed.us/sopa/forest-level.php?110808,110808
Land Between the Lakes National Recreation Area,Kentucky,https://www.fs.fed.us/sopa/forest-level.php?110860,110860
Kisatchie National Forest,Louisiana,https://www.fs.fed.us/sopa/forest-level.php?110806,110806
Massabesic EF,Maine,https://www.fs.fed.us/sopa/forest-level.php?112417,112417
White Mountain National Forest,Maine,https://www.fs.fed.us/sopa/forest-level.php?110922,110922
Hiawatha National Forest,Michigan,https://www.fs.fed.us/sopa/forest-level.php?110910,110910
Huron-Manistee National Forest,Michigan,https://www.fs.fed.us/sopa/forest-level.php?110904,110904
Ottawa National Forest,Michigan,https://www.fs.fed.us/sopa/forest-level.php?110907,110907
Chippewa National Forest,Minnesota,https://www.fs.fed.us/sopa/forest-level.php?110903,110903
Superior National Forest,Minnesota,https://www.fs.fed.us/sopa/forest-level.php?110909,110909
National Forests In Mississippi,Mississippi,https://www.fs.fed.us/sopa/forest-level.php?110807,110807
Mark Twain National Forest,Missouri,https://www.fs.fed.us/sopa/forest-level.php?110905,110905
Beaverhead-Deerlodge National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110102,110102
Bitterroot National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110103,110103
Custer Gallatin National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110111,110111
Custer National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110108,110108
Flathead National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110110,110110
Helena National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110112,110112
Helena-Lewis and Clark National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110115,110115
Idaho Panhandle National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110104,110104
Kootenai National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110114,110114
Lolo National Forest,Montana,https://www.fs.fed.us/sopa/forest-level.php?110116,110116
Nebraska National Forest,Nebraska,https://www.fs.fed.us/sopa/forest-level.php?110207,110207
Humboldt-Toiyabe National Forest,Nevada,https://www.fs.fed.us/sopa/forest-level.php?110417,110417
Inyo National Forest,Nevada,https://www.fs.fed.us/sopa/forest-level.php?110504,110504
Klamath National Forest,Nevada,https://www.fs.fed.us/sopa/forest-level.php?110505,110505
Lake Tahoe Basin Mgt Unit,Nevada,https://www.fs.fed.us/sopa/forest-level.php?110519,110519
White Mountain National Forest,New Hampshire,https://www.fs.fed.us/sopa/forest-level.php?110922,110922
Carson National Forest,New Mexico,https://www.fs.fed.us/sopa/forest-level.php?110302,110302
Cibola National Forest,New Mexico,https://www.fs.fed.us/sopa/forest-level.php?110303,110303
Coronado National Forest,New Mexico,https://www.fs.fed.us/sopa/forest-level.php?110305,110305
Gila National Forest,New Mexico,https://www.fs.fed.us/sopa/forest-level.php?110306,110306
Lincoln National Forest,New Mexico,https://www.fs.fed.us/sopa/forest-level.php?110308,110308
Santa Fe National Forest,New Mexico,https://www.fs.fed.us/sopa/forest-level.php?110310,110310
Green Mountain And Finger Lakes National Forests,New York,https://www.fs.fed.us/sopa/forest-level.php?110920,110920
National Forests In North Carolina,North Carolina,https://www.fs.fed.us/sopa/forest-level.php?110811,110811
Dakota Prairie Grasslands,North Dakota,https://www.fs.fed.us/sopa/forest-level.php?110118,110118
Wayne National Forest,Ohio,https://www.fs.fed.us/sopa/forest-level.php?110914,110914
Cibola National Forest,Oklahoma,https://www.fs.fed.us/sopa/forest-level.php?110303,110303
Ouachita National Forest,Oklahoma,https://www.fs.fed.us/sopa/forest-level.php?110809,110809
Columbia River Gorge National Scenic Area,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110622,110622
Deschutes National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110601,110601
Fremont-Winema National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110602,110602
Klamath National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110505,110505
Malheur National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110604,110604
Mt. Hood National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110606,110606
Ochoco National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110607,110607
Rogue River-Siskiyou National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110610,110610
Siuslaw National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110612,110612
Umatilla National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110614,110614
Umpqua National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110615,110615
Wallowa-Whitman National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110616,110616
Willamette National Forest,Oregon,https://www.fs.fed.us/sopa/forest-level.php?110618,110618
Allegheny National Forest,Pennsylvania,https://www.fs.fed.us/sopa/forest-level.php?110919,110919
El Yunque National Forest,Puerto Rico,https://www.fs.fed.us/sopa/forest-level.php?110816,110816
Estate Thomas EF,Puerto Rico,https://www.fs.fed.us/sopa/forest-level.php?111201,111201
Luquillo EF,Puerto Rico,https://www.fs.fed.us/sopa/forest-level.php?111202,111202
Francis Marion and Sumter National Forests,South Carolina,https://www.fs.fed.us/sopa/forest-level.php?110812,110812
Land Between the Lakes National Recreation Area,South Carolina,https://www.fs.fed.us/sopa/forest-level.php?110860,110860
Savannah River Natural Resource Management and Research Insititute,South Carolina,https://www.fs.fed.us/sopa/forest-level.php?110836,110836
Black Hills National Forest,South Dakota,https://www.fs.fed.us/sopa/forest-level.php?110203,110203
Dakota Prairie Grasslands,South Dakota,https://www.fs.fed.us/sopa/forest-level.php?110118,110118
Nebraska National Forest,South Dakota,https://www.fs.fed.us/sopa/forest-level.php?110207,110207
Cherokee National Forest,Tennessee,https://www.fs.fed.us/sopa/forest-level.php?110804,110804
Land Between the Lakes National Recreation Area,Tennessee,https://www.fs.fed.us/sopa/forest-level.php?110860,110860
Cibola National Forest,Texas,https://www.fs.fed.us/sopa/forest-level.php?110303,110303
National Forests In Texas,Texas,https://www.fs.fed.us/sopa/forest-level.php?110813,110813
Ashley National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110401,110401
Caribou-Targhee National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110415,110415
Dixie National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110407,110407
Fishlake National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110408,110408
Humboldt-Toiyabe National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110417,110417
Manti-La Sal National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110410,110410
Sawtooth National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110414,110414
Uinta-Wasatch-Cache National Forest,Utah,https://www.fs.fed.us/sopa/forest-level.php?110419,110419
Green Mountain And Finger Lakes National Forests,Vermont,https://www.fs.fed.us/sopa/forest-level.php?110920,110920
Uinta-Wasatch-Cache National Forest,Vermont,https://www.fs.fed.us/sopa/forest-level.php?110419,110419
George Washington and Jefferson National Forest,Virginia,https://www.fs.fed.us/sopa/forest-level.php?110808,110808
Uinta-Wasatch-Cache National Forest,Virginia,https://www.fs.fed.us/sopa/forest-level.php?110419,110419
Colville National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110621,110621
Dakota Prairie Grasslands,Washington,https://www.fs.fed.us/sopa/forest-level.php?110118,110118
Gifford Pinchot National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110603,110603
Idaho Panhandle National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110104,110104
Mt Baker-Snoqualmie National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110605,110605
Okanogan-Wenatchee National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110617,110617
Olympic National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110609,110609
Uinta-Wasatch-Cache National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110419,110419
Umatilla National Forest,Washington,https://www.fs.fed.us/sopa/forest-level.php?110614,110614
George Washington and Jefferson National Forest,West Virginia,https://www.fs.fed.us/sopa/forest-level.php?110808,110808
Land Between the Lakes National Recreation Area,West Virginia,https://www.fs.fed.us/sopa/forest-level.php?110860,110860
Monongahela National Forest,West Virginia,https://www.fs.fed.us/sopa/forest-level.php?110921,110921
Chequamegon / Nicolet National Forest,Wisconsin,https://www.fs.fed.us/sopa/forest-level.php?110913,110913
Ashley National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110401,110401
Bighorn National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110202,110202
Black Hills National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110203,110203
Bridger-Teton National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110403,110403
Caribou-Targhee National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110415,110415
Medicine Bow-Routt National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110206,110206
Shoshone National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110214,110214
Uinta-Wasatch-Cache National Forest,Wyoming,https://www.fs.fed.us/sopa/forest-level.php?110419,110419
